en,tw,cn,type,clues,avoid_clues,note
Jelly Bean,雷根糖,果凍豆,cross_strait,程式；軟體；系統；電腦；網路,,
find,尋找；搜尋,查找,cross_strait,,,UI find/search
view/inspect,檢視,查看,cross_strait,,,
campus network,校園網路,校園網,cross_strait,程式；軟體；系統；電腦；網路,,
checksum,總和檢查碼,校驗和,cross_strait,,,
core function / key feature,關鍵功能；主要功能,核心功能,confusable,程式；軟體；系統；模組；架構；演算法,kernel；核心；核心模組；核心空間,避免混用 kernel (核心) 和 core (關鍵)；除非指 kernel feature
core issue / key issue,關鍵問題,核心問題,confusable,程式；軟體；系統；模組；架構；演算法,,避免混用 kernel (核心) 和 core (關鍵)
kernel image,核心映像檔,核心映象,cross_strait,,,
core service,主體服務,核心服務,cross_strait,Core；core；服務層；PID,,避免混用 kernel (核心) 和 core; tw 用「主體服務」表示 core service
kernel stack,核心堆疊,核心棧,cross_strait,,,OpenCC 可能將內核棧轉為核心棧，仍需轉為核心堆疊
core concept,主體概念,核心概念,cross_strait,作業系統；OS；kernel；微核心；程序；行程,,避免混用 kernel (核心) 和 core; 當「核心」不指 OS kernel 時用「主體」
core insight / key insight,關鍵洞察,核心洞察,cross_strait,,,避免濫用「核心」; 當不指 OS kernel 時改用「關鍵」
core logic,關鍵邏輯；主要邏輯,核心邏輯,confusable,程式；軟體；系統；模組；架構；演算法,,避免混用 kernel (核心) 和 core (關鍵)
Grenada,格瑞那達,格林納達,cross_strait,,,@geo country (國名)
Georgia,喬治亞,格魯吉亞,cross_strait,,,@geo country (國名)
desktop,桌上型,桌面型,cross_strait,,,
sauna,三溫暖,桑拿浴,cross_strait,,,
bar chart,長條圖,條形圖,cross_strait,,,
barcode,條碼,條形碼,cross_strait,,,
instruction (classifier),道指令,條指令,cross_strait,,,「指令」(instruction) 的量詞是「道」而非「條」
stack,堆疊,棧,cross_strait,程式；記憶體；指標；push；pop；溢位,,單字「棧」在非 CS 語境意為客棧、貨棧
stack unwinding,堆疊輾轉開解,棧輾轉開解,cross_strait,,,
edge / ridge (char variant),稜,棱,variant,,,MoE 標準字體 (@example 稜角、稜線)
leisure activity,休閒活動,業餘活動,cross_strait,,,
geek,科技發燒友,極客,cross_strait,,,
probability,機率,概率,cross_strait,,,數學/統計領域用詞
build,建構,構建,cross_strait,,,
constructor,建構函式；建構式,構造函數,cross_strait,,,
chaos-lover / drama-seeker,唯恐天下不亂；愉悅犯,樂子人,cross_strait,,,
standard definition (SD),標準畫質,標清,cross_strait,,,
C standard library,標準 C 語言函式庫,標準 C 庫,cross_strait,,,避免孤立的「C」造成突兀感，完整表述為「C 語言函式庫」
standard library,標準函式庫；標準程式庫,標準庫,cross_strait,,,cn 用「庫」作 library 後綴；tw 用「函式庫」或「程式庫」
orthonormal,單範正交,標準正交,cross_strait,矩陣；向量；基底；基；空間；正交化,,
tab,分頁,標簽頁,cross_strait,程式；軟體；系統；電腦；網路,,
tab,分頁標籤；分頁,標籤頁,cross_strait,瀏覽器；視窗；開啟；關閉；切換,,cn「標籤頁」；tw 用「分頁標籤」或「分頁」(tab page)
identifier,識別子,標識符,cross_strait,,,
scalar,純量,標量,cross_strait,,,亦適用於程式設計、物理
header file,標頭檔,標頭檔案,cross_strait,,,tw 慣用「標頭檔」而非「標頭檔案」(@seealso 頭文件)
title bar,標題列,標題欄,cross_strait,程式；軟體；系統；電腦；網路,,
module,模組,模塊,cross_strait,,,
pattern recognition,型態辨識,模式識別,cross_strait,,,
modal dialog,模態對話框,模態框,cross_strait,UI；視窗；對話；介面；彈出,,
analog,類比,模擬,cross_strait,電路；訊號；類比；器件；ADC；DAC,,「模擬電路/訊號」(analog) tw 用「類比」；「模擬器/模擬執行」(simulate) 為正確 tw 用法
analog electronics,類比電子,模擬電子,cross_strait,,,
analog circuit,類比電路,模擬電路,cross_strait,,,
template argument deduction,模板引數推導,模板參數推導,cross_strait,,,
naive Bayes,簡單貝氏,樸素貝氏,cross_strait,,,
orange juice,柳橙汁,橙汁,cross_strait,,,
airport express,機場捷運,機場快線,cross_strait,,,
HDD,機械硬碟,機械硬盤,cross_strait,硬碟；SSD；儲存；硬體,,
set-top box,機上盒,機頂盒,cross_strait,程式；軟體；系統；電腦；網路,,
memory,記憶體,機體,confusable,RAM；DDR；DRAM；容量；配置；分配,,ASR confusable: 機體 misrecognized for 記憶體 in CS context
eave (char variant),簷,檐,variant,,,MoE 標準字體 (@example 屋簷)
grade/tier,等級,檔次,cross_strait,,,
detect,偵測,檢測,cross_strait,,,「檢測」偏指 inspect/test，語意不同
check bit,核對位元,檢驗位,cross_strait,程式；軟體；系統；電腦；網路,,
checksum,校驗碼,檢驗和,cross_strait,,,
desktop computer,桌機；桌上型電腦,檯式機,cross_strait,,,
regular expression (regex),正規表示式,正則表達式,cross_strait,,,
regular language,正規語言,正則語言,cross_strait,,,
regular expression,正規表示式,正則運算式,cross_strait,,,
normal distribution,常態分布,正態分布,cross_strait,,,
pedestrian street,行人徒步區,步行街,cross_strait,,,
walkie-talkie,對講機,步談機,cross_strait,,,
normalization,正規化,歸一化,cross_strait,程式；軟體；系統；電腦；網路,,
merge sort,合併排序,歸併排序,cross_strait,,,
crash,當機,死機,cross_strait,,,
deadlock,死結,死鎖,cross_strait,,,
defective product,瑕疵品,殘次品,cross_strait,,,
zombie process,殭屍行程,殭屍程序,cross_strait,,,zombie process；「程序」此處指 process (@seealso 程序管理)
antivirus,防毒,殺毒,cross_strait,,,
antivirus,防毒軟體,殺毒軟體,cross_strait,,,
parent node,親代節點,母節點,cross_strait,,,避免父權語彙。parent 的本意為「親代」，不隱含性別
bit,位元,比特,cross_strait,,,cn 「位」兼作量詞，造成歧義：「三十二位整数」中 bit 乍看成量詞。tw 「位元」明確為計量單位，無歧義。例外: bitcoin 已約定成俗，寫作「比特幣」
bitrate,位元率,比特率,cross_strait,,,
frosted glass,磨砂玻璃；霧面玻璃,毛玻璃,cross_strait,,,
future son-in-law,準女婿,毛腳女婿,cross_strait,,,
fiancee / bride-to-be,準媳婦,毛腳媳婦,cross_strait,,,
Mauritania,茅利塔尼亞,毛裡塔尼亞,cross_strait,,,@geo country (國名)
Mauritius,模里西斯,毛裡求斯,cross_strait,,,@geo country (國名)
Mauritania,茅利塔尼亞,毛里塔尼亞,cross_strait,,,@geo country (國名)
Mauritius,模里西斯,毛里求斯,cross_strait,,,@geo country (國名)
civil affairs bureau,戶政事務所,民政局,cross_strait,,,
ethnography,民族誌,民族志,cross_strait,,,
amino acid,胺基酸,氨基酸,cross_strait,,,
cement,水泥,水門汀,cross_strait,,,
pollute (char variant),汙,污,variant,,,MoE 標準字體 (@example 汙染、汙水)
impossible / no way,不可能,沒可能,cross_strait,,,
nobody can top that,無人能敵；沒人能超越；敗給你；天兵,沒誰了,cross_strait,,,
Saudi Arabia,沙烏地,沙特,cross_strait,,,@geo country (國名)
Saudi Arabia,沙烏地阿拉伯,沙特阿拉伯,cross_strait,,,@geo country (國名)
sandbox,沙盒,沙箱,cross_strait,隔離；安全；環境；測試,,
hotspot news,焦點新聞,沸點新聞,cross_strait,,,
leak (char variant),洩,泄,variant,,,MoE 標準字體 (@example 洩漏、洩氣)
generic algorithm,泛型演算法,泛型算法,cross_strait,,,
styrofoam/expanded polystyrene,保麗龍,泡沫塑料,cross_strait,,,
wavelength-division multiplexing (WDM),波長分波多工,波分複用,cross_strait,,,
Bosnia and Herzegovina,波士尼亞與赫塞哥維納,波斯尼亞黑塞哥維那,cross_strait,,,@geo country (國名)
mudslide/debris flow,土石流,泥石流,cross_strait,,,
wax apple,蓮霧,洋蒲桃,cross_strait,,,
nail polish remover,去光水,洗甲水,cross_strait,,,
facial cleanser,洗面乳,洗面奶,cross_strait,,,
shampoo,洗髮精,洗髮水,cross_strait,,,
Zimbabwe,辛巴威,津巴布韋,cross_strait,,,@geo country (國名)
Honduras,宏都拉斯,洪都拉斯,cross_strait,,,@geo country (國名)
prefab site cabin,鐵皮屋,活動板房,cross_strait,,,
derived class,衍生類別,派生類,cross_strait,,,
streaming media,串流媒體,流媒體,cross_strait,,,
stream cipher,串流加密法,流密碼,cross_strait,程式；軟體；系統；電腦；網路,,
banquet with multiple seatings,辦桌,流水席,cross_strait,,,
production line/pipeline,生產線；管線,流水線,cross_strait,,,工廠語境 vs CPU/軟體語境
business process reengineering,流程再造,流程重構,cross_strait,,,
stream processing,串流處理,流處理,cross_strait,即時；Kafka；資料；管線,,
Heisenberg,海森堡,海森伯,cross_strait,,,@person science (物理)
oyster omelet,蚵仔煎,海蠣煎,cross_strait,,,
elimination,消去法,消元法,cross_strait,高斯；矩陣；線性；方程組；列運算,,
message,訊息,消息,cross_strait,,,`好消息`/`壞消息`/`消息來源` 為合法 zh-TW 用法
message loop,訊息迴圈,消息環,cross_strait,,,
message queue,訊息佇列,消息隊列,cross_strait,MQ；Kafka；非同步；佇列,,
cold dish/appetizer,冷盤,涼菜,cross_strait,,,
mixed reality,混合實境,混合現實,cross_strait,,,
assembled / hybrid car,拼裝車,混血車,cross_strait,,,
add,新增,添加,cross_strait,欄位；按鈕；項目；記錄；清單,添加物；添加劑；食品,tw「添加」= add substance (添加物)；UI/IT add 改「新增」
channel,管道；通路,渠道,cross_strait,,,
dump truck,砂石車,渣土車,cross_strait,,,
render,算繪,渲染,cross_strait,圖學；圖形；3D；GPU；畫面；幀；frame；shader；貼圖；光線；場景；引擎；OpenGL；Vulkan；DX；管線,,依 MoE 辭典，「渲染」本義為國畫用水墨暈染技法或文字誇大手法，語意與 rendering (計算+繪製) 相反。CG 語境應譯「算繪」，建築裝潢語境譯「粉刷」
rendering pipeline,算繪管線,渲染管線,cross_strait,,,
Tonga,東加,湯加,cross_strait,,,@geo country (國名)
source code,原始程式碼,源代碼,cross_strait,,,
source file,原始檔,源文件,cross_strait,,,
source code,原始程式碼,源碼,cross_strait,,,
overflow,溢位；上限溢位,溢出,cross_strait,,,
slider,滑桿,滑塊,cross_strait,,,
scroll box,捲動方塊,滾動框,cross_strait,程式；軟體；系統；電腦；網路,,
scroll bar,捲軸,滾動條,cross_strait,,,
scroll bar,捲軸,滾動欄,cross_strait,程式；軟體；系統；電腦；網路,,
rollback,還原,滾回,cross_strait,,,
screen-filling/full-screen,佔滿螢幕,滿屏,cross_strait,,,
demo/demonstrate,示範；展示,演示,cross_strait,,,實際操作示範 (demo) vs 展覽呈現 (showcase)
presentation,簡報,演示文稿,cross_strait,,,
Hamlet,哈姆雷特,漢姆雷特,cross_strait,,,
smear / sling mud,造謠,潑髒水,cross_strait,,,
"Wei (river name, char variant)",溈,潙,variant,,,MoE 標準字體 (水名)
"Cong (water name, char variant)",潀,潨,variant,,,MoE 標準字體 (水流匯聚)
laser,雷射,激光,cross_strait,,,
activate,啟用；活化,激活,cross_strait,,,軟體/帳號語境用「啟用」，化學/生物語境用「活化」
activation code,啟動碼；啟用碼,激活碼,cross_strait,,,
shady / low-grade film,大爛片,灰色影片,cross_strait,,,
cook / kitchen worker,廚師,炊事員,cross_strait,,,
fried chicken cutlet,雞排,炸雞排,cross_strait,,,
Uzbekistan,烏茲別克,烏茲別克斯坦,cross_strait,,,@geo country (國名)
dustless chalk,無灰粉筆,無塵粉筆,cross_strait,,,
lossless compression,無失真壓縮,無損壓縮,cross_strait,,,
unsupervised,非監督式,無監督,cross_strait,程式；軟體；系統；電腦；網路,,
shameless,不道德；不堪入目,無節操,cross_strait,,,
cordless phone,無線電話,無繩電話,cross_strait,,,
infinite loop,無窮迴圈,無限循環,cross_strait,,,
infinite scroll,無限捲動,無限滾動,cross_strait,UI；載入；頁面；捲動,,
infinite recursive,無窮遞迴,無限遞歸,cross_strait,,,
gas stove,瓦斯爐,燃氣灶,cross_strait,,,
marketing,行銷,營銷,cross_strait,,,
be / do (char variant),為,爲,variant,,,MoE 標準字體 (古體「爲」為異體)
parent and child processes,親代和子代行程,父子常式,cross_strait,,,"中性用語 (tw: 親代和子代行程, cn: 父子進程); OpenCC 可能誤植子進程→子常式"
parent and child processes,親代和子代行程,父子程序,cross_strait,行程；fork；exec；PID；核心；排程；CPU；記憶體；作業系統；COW；管道,,OpenCC s2twp 將父子進程轉為父子程序；此處指 parent and child processes (@seealso 父子常式)
parent and child processes,親代和子代行程,父子行程,cross_strait,,,"避免父權語彙。parent and child processes 譯為「親代和子代行程」(@seealso 父子程序, 父子常式)"
parent process,親代行程,父程序,cross_strait,行程；fork；exec；PID；wait；exit；核心；排程；子行程；CPU；記憶體；狀態；作業系統,,OpenCC 可能將父進程轉為父程序；此處「程序」指 process (行程)，非 program (程式) (@seealso 父行程)
parent node,親代節點,父節點,cross_strait,,,避免父權語彙。parent 的本意為「親代」，不隱含性別。二元樹中 parent node 無成對性別關連
parent process,親代行程,父行程,cross_strait,,,"中性用語，避免父權主義遺毒 (tw: 親代行程, cn: 父進程)"
parent process,親代行程,父進程,cross_strait,,,"cn: 父進程, tw: 親代行程 (@seealso 父行程)"
parent class,親代類別,父類,cross_strait,,,避免父權語彙。parent 的本意為「親代」，不隱含性別
bed (char variant),床,牀,variant,,,MoE 標準字體 (@example 床鋪、病床)
version number,版本號碼,版本號,cross_strait,,,
key point / crux,要害,牛鼻子,cross_strait,,,
physical address,實體位址,物理位址,cross_strait,,,compound:physical address = 實體位址 (@seealso 物理記憶體)
physical memory,實體記憶體,物理內存,cross_strait,記憶體；RAM；位址；分頁；虛擬,,限 IT 語境
physical address,實體位址,物理地址,cross_strait,記憶體；位址；分頁；MMU；虛擬；MAC,,限 IT 語境
physical layer,實體層,物理層,cross_strait,,,compound:OSI physical layer = 實體層 (@seealso 物理記憶體)
physical core,實體核,物理核心,cross_strait,,,compound:physical core = 實體核；「核心」保留給 kernel，processor core 用「核」(@seealso CPU核心)
physical machine,實體機器,物理機,cross_strait,,,compound:physical machine = 實體機器（相對於虛擬機器）(@seealso 物理記憶體)
physical disk,實體磁碟,物理磁碟,cross_strait,,,compound:physical disk = 實體磁碟 (@seealso 物理記憶體)
physical device,實體裝置,物理裝置,cross_strait,,,compound:physical device = 實體裝置 (@seealso 物理記憶體)
physical memory,實體記憶體,物理記憶體,cross_strait,,物理學；物理系；物理課,"僅在學科名稱時用「物理」，否則用「實體」(tw: 實體記憶體, cn: 物理內存)"
physical page,實體頁面,物理頁,cross_strait,,,compound:physical page = 實體頁面 (@seealso 物理記憶體)
specialization,特殊化；特殊化定義；特殊化宣告,特化,cross_strait,模板；範本；C++；泛型,,限 C++ 模板語境
Trinidad and Tobago,千里達及托巴哥,特立尼達和多巴哥,cross_strait,,,@geo country (國名)
Trinitron,特麗霓虹,特麗瓏,cross_strait,程式；軟體；系統；電腦；網路,,
status bar,狀態列,狀態欄,cross_strait,,,
winner / recipient,得主,獲得者,cross_strait,,,
kiwi fruit,奇異果,獼猴桃,cross_strait,,,
Republic of Gamers,玩家共和國,玩家國度,cross_strait,,,
took it too far,玩過頭；過火了,玩脫了,cross_strait,,,
homeroom teacher,導師,班主任,cross_strait,班級；學生；學校；老師,,
reality is harsh,現實很殘酷,現實很骨感,cross_strait,,,
Nauru,諾魯,瑙魯,cross_strait,,,@geo country (國名)
Vanuatu,萬那杜,瓦努阿圖,cross_strait,,,@geo country (國名)
scope operator,生存空間運算子,生存空間操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
scope resolution operator,生存空間決議運算子,生存空間解析操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
biomarker,生物標誌,生物標誌物,cross_strait,,,
organic food,天然食品,生物食品,cross_strait,,,
user,使用者,用戶,cross_strait,,,
username,使用者名稱,用戶名,cross_strait,,,
user heap,使用者端堆積,用戶堆,cross_strait,,,"tw: 使用者端堆積 (heap→堆積), cn: 用戶堆"
user stack,使用者端堆疊,用戶棧,cross_strait,,,"tw: 使用者端堆疊 (stack→堆疊), cn: 用戶棧"
user interface,使用者介面；用戶介面；人機介面,用戶界面,cross_strait,,,
user-level thread,使用者層級執行緒,用戶級線程,cross_strait,,,"tw: 使用者層級執行緒, cn: 用戶級線程"
interface,介面,界面,cross_strait,UI；API；GUI；軟體；硬體；開發；使用者；圖形,,
Picasso,畢卡索,畢加索,cross_strait,,,
guava,芭樂,番石榴,cross_strait,,,
exception,例外；異常情況,異常,cross_strait,拋出；捕獲；處理；程式碼；代碼；函式；函數；方法；類別；除錯；偵錯,偵測；檢測；異常值；統計；分佈,
exception declaration,異常宣告,異常聲明,cross_strait,C++；Java；函式；函數；編譯；throw,,
exception specification,異常規格,異常規範,cross_strait,C++；Java；函式；函數；編譯；throw,,
heterogeneous computing,異質運算；異質多核運算,異構運算,cross_strait,,,tw 以「異質」對應 heterogeneous (不同質的元件協作)；「異構」多見於 cn。「異質多核運算」特指 CPU+GPU 整合架構 (如 AMD APU)
asynchronous,非同步,異步,cross_strait,,,「非」明確表達「不」，而「異」指「不同/特別/不尋常」(如《史記》:「皆異能之士也」的「異」是「特別」)，用「異」會造成歧義並與其他科學術語 (如立體異構物 stereoisomers) 衝突
if and only if,若且唯若,當且僅當,cross_strait,,,
current/currently,目前,當前,cross_strait,行程；系統；狀態；執行；核心；記憶體；CPU；排程,,"避免文言表述「當前」，改用「目前」消除歧異 (tw: 目前, cn: 當前)"
iterate,迭代,疊代,cross_strait,,,「疊」(堆聚、累積) 強調反覆堆疊的過程；「迭」(輪流、更替) 則指交替，「迭」在 1964–1986 年間曾是「疊」的 cn 簡化字。教育部《國家教育研究院雙語詞彙》收錄「疊代」
iterator,迭代器,疊代器,cross_strait,,,
troubleshooting,疑難排解,疑難解答,cross_strait,,,
numbness (char variant),痺,痹,variant,,,MoE 標準字體 (@example 麻痺)
infatuated (char variant),痴,癡,variant,,,MoE 標準字體 (@example 痴迷、痴情)
login,登入,登錄,cross_strait,,,
release/publish,釋出,發佈,cross_strait,,,
LED,發光二極體,發光二極管,cross_strait,,,
engine,引擎,發動機,cross_strait,,,
send,傳送,發送,cross_strait,,,
send email,寄信,發郵件,cross_strait,,,
white hat,白帽駭客,白帽,cross_strait,駭客；安全；滲透；漏洞,,
soap (char variant),皂,皁,variant,,,MoE 標準字體 (@example 肥皂)
taxi,計程車,的士,cross_strait,,,
lunchbox/bento,便當,盒飯,cross_strait,,,
supervision hotline,投訴電話,監督電話,cross_strait,,,
disk platter,碟片,盤片,cross_strait,,,
drive letter,磁碟機代號,盤符,cross_strait,,,
Rwanda,盧安達,盧旺達,cross_strait,,,@geo country (國名)
Louvre,羅浮宮,盧浮宮,cross_strait,,,@geo landmark (地標)
object code,目的碼,目標代碼,cross_strait,,,
object file,目的檔,目標文件,cross_strait,,,
school for the blind,啟明學校,盲人學校,cross_strait,,,
immediate derived,直接下層衍生類,直接下層派生類,cross_strait,,,
Direct Memory Access / DMA,直接記憶體存取,直接記憶體訪問,cross_strait,,,DMA (Direct Memory Access)；「訪問」僅指 visit，access 應譯為「存取」
photo album,相簿,相冊,cross_strait,,,
equivalent,等價,相抵,cross_strait,矩陣；線性；列運算；行變換；秩,,矩陣等價 (equivalent)；非日常「相抵」(抵消)
true negative,正確負例,真陰性,cross_strait,檢驗；篩檢；診斷；測試,,
particle (char variant),著,着,variant,,,MoE 標準字體 (助詞用法統一為「著」)
testicle (char variant),睪,睾,variant,,,MoE 標準字體 (@example 睪丸)
vector,向量,矢量,cross_strait,,,
knowledge-intensive,技術密集,知識密集,cross_strait,,,
intellectual property (IP),智慧財產權,知識產權,cross_strait,,,
graduate school,研究所,研究生院,cross_strait,,,
high-speed blender,果汁機；豆漿機,破壁機,cross_strait,,,
silicon,矽,硅,cross_strait,,,tw 依 1933 年 MoE 標準譯名。cn 於 1957 年改用現名，偏離音譯系統
hard disk,硬碟,硬盤,cross_strait,,,
hard-code,寫死,硬編碼,cross_strait,程式；軟體；系統；電腦；網路,,
hard-coded,編死的,硬編碼的,cross_strait,,,
code-division multiple access (CDMA),分碼多重進接,碼分多址,cross_strait,,,
bitrate,位元率,碼率,cross_strait,,,
disk,磁碟,磁盤,cross_strait,,,
disk file,磁碟檔案,磁碟文件,cross_strait,,,
track (disk),磁軌,磁道,cross_strait,,,
social (network),社群,社交,cross_strait,媒體；網路；網絡；平台；帳號；賬號；貼文,,限 social network 語境。「社交能力」為正確 tw 用法
community,社群,社區,cross_strait,,,「社區」指實體住宅區，online/tech community 語意不同
secret (char variant),秘,祕,variant,,,MoE 標準字體 (@example 秘密、神秘)
motherland,中國,祖國,political_coloring,,,當書寫者的國籍認同為 cn 時成立，否則保留原詞
ticket scalper,黃牛,票販子,cross_strait,,,
disable,停用,禁用,cross_strait,,,
Foucault,傅柯,福柯,cross_strait,,,@person science (哲學)
direct message / DM,私訊,私信,cross_strait,訊息；發送；聊天；好友,,
Comoros,葛摩,科摩羅,cross_strait,,,@geo country (國名)
Ivory Coast (Cote d'Ivoire),象牙海岸,科特迪瓦,cross_strait,,,@geo country (國名)
mobile agent,行動代理,移動代理,cross_strait,,,
mobile content management,行動內容管理,移動內容管理,cross_strait,,,
mobile platform,行動平台,移動平台,cross_strait,,,
mobile broadcasting,行動廣播,移動廣播,cross_strait,,,
mobility,行動性,移動性,cross_strait,程式；軟體；系統；電腦；網路,,
mobile application,行動應用,移動應用,cross_strait,,,
mobile application management,行動應用管理,移動應用管理,cross_strait,,,
mobile payment,行動支付,移動支付,cross_strait,,,
mobile browser,行動瀏覽器,移動瀏覽器,cross_strait,,,
mobile version,行動版,移動版,cross_strait,程式；軟體；系統；電腦；網路,,
mobile product,行動產品,移動產品,cross_strait,,,
portable hard drive,行動硬碟,移動硬盤,cross_strait,,,
mobile,行動裝置,移動端,cross_strait,手機；APP；響應式；行動,,
mobile network,行動網路,移動網絡,cross_strait,,,
mobile device,行動裝置,移動設備,cross_strait,,,
mobile data,行動資料,移動資料,cross_strait,,,
mobile communication,行動通訊,移動通信,cross_strait,,,
mobile telecommunications,行動電信,移動電信,cross_strait,,,
power bank,行動電源,移動電源,cross_strait,,,
mobile TV,行動電視,移動電視,cross_strait,,,
mobile phone,行動電話,移動電話,cross_strait,,,
program,程式,程序,cross_strait,編寫；代碼；程式碼；執行；開發；編譯；軟件；軟體；調試；除錯；偵錯；CPU；排程；行程；核心；記憶體；I/O；作業系統；狀態；IPC,,不應與「程序」(procedure/步驟) 混淆
process,行程 (Process),程序 (Process),cross_strait,,,OpenCC s2twp 將進程 (Process) 轉為程序 (Process)；明確標註 Process 即為行程
process switching,行程切換,程序切換,cross_strait,,,process switching / context switch；「程序」此處指 process (@seealso 程序管理)
programmer,程式設計師；程式開發者,程序員,cross_strait,,,programmer; tw 用「程式設計師」或「程式開發者」
process abstraction,行程抽象,程序抽象,cross_strait,作業系統；OS；kernel；核心；排程；fork；exec；CPU；記憶體；行程；執行緒；IPC,,限作業系統語境。此處「程序」指 process (行程)，非 program (程式)
process scheduling,行程排程,程序排程,cross_strait,,,process scheduling；「程序」此處指 process (@seealso 程序管理)
process model,行程模型,程序模型,cross_strait,,,process model；「程序」此處指 process (@seealso 程序管理)
process state,行程狀態,程序狀態,cross_strait,READY；阻塞；執行中；就緒；排程；核心；切換；fork,,process state/status；「程序」此處指 process (@seealso 程序管理)
process management,行程管理,程序管理,cross_strait,行程；fork；exec；PID；排程；核心；作業系統；CPU；記憶體；執行緒；IPC；狀態,,OpenCC 可能將進程管理轉為程序管理；此處指 process management (@seealso 進程管理)
process information,行程資訊,程序資訊,cross_strait,,,process information；「程序」此處指 process (@seealso 程序管理)
inter-process,行程間,程序間,cross_strait,通訊；IPC；管道；排程；共享；隔離；核心；同步；訊號,,inter-process；「程序」此處指 process (@seealso 程序管理)
inter-process communication / IPC,行程間通訊,程序間通訊,cross_strait,,,inter-process communication (IPC)；「程序」此處指 process (@seealso 程序管理)
process,行程（Process）,程序（Process）,cross_strait,,,OpenCC s2twp 將進程（Process）轉為程序（Process）；全形括弧版本
points/credits,點數；分數；紅利,積分,cross_strait,會員；紅利；兌換；獎勵；消費；回饋,,限商業語境 (loyalty points)。數學「積分」(integral) 為標準 tw 用語
Airbus,空中巴士,空中客車,cross_strait,,,
space-division multiple access (SDMA),分空間多重進接,空分多址,cross_strait,,,
space-division multiplexing (SDM),空間多工,空分複用,cross_strait,,,
air purifier,空氣清淨機,空氣淨化器,cross_strait,,,
idle,閒置,空閒,cross_strait,,,"idle。tw 慣用「閒置」表示 idle 狀態（閒置核心、閒置行程），「空閒」偏 cn 用法(@seealso 空閒程序, 空閒程式)"
idle process/idle task,閒置行程,空閒程序,cross_strait,排程；CPU；核心；行程；PID,,idle process/idle task。OpenCC 將空闲进程轉為空閒程序，tw 標準為「閒置行程」(@seealso 空閒程式)
idle process/idle task,閒置行程,空閒程式,cross_strait,排程；CPU；核心；行程；PID,,idle process/idle task。aggressive fixer 可能將空閒程序改為空閒程式，tw 標準為「閒置行程」(@seealso 空閒程序)
space allocation,空間配置,空間分配,cross_strait,,,compound:定址空間語境自動觸發「分配→配置」(@seealso 記憶體分配)
space station,太空站,空間站,cross_strait,,,
Tunisia,突尼西亞,突尼斯,cross_strait,,,@geo country (國名)
window,視窗,窗口,cross_strait,GUI；UI；介面；桌面；對話框；彈出；最小化；最大化；關閉；視窗；拖曳；操作；應用程式；瀏覽器；工具列；切換；分割；標題列；全螢幕；面板；選單,,限 GUI/HCI 語境。依 MoE 辭典，「窗口」指實體窗戶或服務櫃檯。GUI window 應譯「視窗」
window function,視窗函式,窗口函數,cross_strait,,,
form,表單,窗體,cross_strait,UI；介面；接口；控件；按鈕；HTML,,
stove (char variant),灶,竈,variant,,,MoE 標準字體 (@example 灶台、灶神)
talking from the sidelines,風涼話；高談闊論,站著說話不腰疼,cross_strait,,,
site identification button,網站識別鈕,站點標識按鈕,cross_strait,,,
end-to-end test / E2E test,端對端測試,端到端測試,cross_strait,自動化；瀏覽器；E2E,,
port,連接埠；埠,端口,cross_strait,,,
port number,埠號碼,端口號,cross_strait,,,cn: 端口號，tw: 埠號碼 (@seealso 端口)
race condition,競爭條件,競態條件,cross_strait,執行緒；並行；同步；鎖；race,,
Descartes,笛卡兒,笛卡爾,cross_strait,,,@person science (數學/哲學)
the Third Wave,第三波,第三次浪潮,cross_strait,,,
tertiary industry,服務業,第三產業,cross_strait,,,
side job,副業,第二職業,cross_strait,,,
extracurricular classroom,課外活動,第二課堂,cross_strait,,,
laptop/notebook,筆記型電腦,筆記本電腦,cross_strait,,,
equality operator,equality 運算子,等號操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
plasma,電漿,等離子,cross_strait,,,
plasma TV,電漿電視,等離子電視,cross_strait,,,
operator,運算子,算子,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法；多載；重載,微分算子；積分算子；哈密頓；拉普拉斯；線性算子；投影算子；梯度算子；散度算子；旋度算子；厄米算子；自伴算子；么正算子；泛函；量子；算符,數學領域「算子」(微分算子、哈密頓算子等) 為正確術語，不應更正
arrow operator,arrow 運算子,箭頭操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
normal form/paradigm,正規化,範式,cross_strait,,,
paradigm shift,典範轉移,範式轉移,cross_strait,,,tw 學術界標準譯法；「典範」源自孔恩 (Thomas Kuhn)《科學革命的結構》中文譯本用語
paste,貼上,粘貼,cross_strait,,,
zongzi / rice dumpling (char variant),粽,糉,variant,,,MoE 標準字體 (@example 粽子)
affiliated companies,關係企業,系列企業,cross_strait,,,
system tray,系統匣,系統托盤,cross_strait,,,
system disk,系統磁碟,系統盤,cross_strait,程式；軟體；電腦；網路,,
system data,資源管理,系統資料,cross_strait,,,
Johannesburg,約翰尼斯堡,約翰內斯堡,cross_strait,,,@geo city (城市)
Hearts (card game),傷心小棧,紅心大戰,cross_strait,,,
Nash,納許,納什,cross_strait,均衡；賽局；博弈；諾貝爾；數學,,@person science (數學/經濟)
